Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Disposez-vous d'une RQTH (Reconnaissance de la qualité de Travailleur Handicapé)?;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
22/03/2019 11:01;1783551799040730;Homme;2016;Initiale;MEA;Activite;Privé;CDI;En France;Île-de-France;;36;Non;NEXTON ;250 à  4 999 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Key Account Manager;Industrie des technologies de l'Information et de la Communication (TIC);52000;OUI;OUI;OUI;OUI;4;5;4;5;4
22/03/2019 13:46;1889078740237230;Homme;2018;Apprentissage;SE;Activite;Privé;CTT;En France;Occitanie;;6;Non;Thales Alenia Space;5 000 salarié(e)s ou plus;Informatique industrielle et technique ;Ingénieur développement test charge utile;Activités informatiques et services d'information (TIC services);32000;NON;NON;NON;OUI;5;5;2;4;5
22/03/2019 15:26;1777070239467270;Homme;2018;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;0;Non;Condor SAS;De 10 à 19 salarié(e)s ;Informatique industrielle et technique ;Ingénieur Dévelopeur;Santé humaine et action sociale;33000;NON;NON;NON;NON;4;;;;
22/03/2019 16:18;1742932406541910;Homme;2017;Professionalisation;MEA;Activite;Privé;CDI;En France;Île-de-France;;13;Non;ALSTOM TRANSPORT;5 000 salarié(e)s ou plus;Informatique industrielle et technique ;Ingénieur Logiciel;Industrie automobile, aéronautique, navale, ferroviaire;39000;NON;NON;NON;OUI;5;5;4;4;3
22/03/2019 16:22;1876551793886810;Homme;2018;Initiale;MEA;Activite;Public;CDD;En France;Île-de-France;;7;Non;Ministère des Armées;5 000 salarié(e)s ou plus;Informatique industrielle et technique ;Ingénieur en intégration et définition hardware;Administration d'État, Collectivités territoriales, Hospitalière;36000;NON;NON;NON;OUI;5;5;4;4;4
22/03/2019 21:13;1877069833744240;Homme;2017;Initiale;MEA;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;14;Non;PONANT Technologies;De 20 à 49 salarié(e)s ;Informatique industrielle et technique ;Ingénieur développement logiciel;Sociétés de conseil, bureaux d'études;32000;NON;NON;NON;NON;5;5;4;5;5
23/03/2019 12:30;1775719847704270;Homme;2016;Initiale;MAT;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;27;Non;StMicroelectronics;5 000 salarié(e)s ou plus;Méthodes, contrôle de production, maintenance;Ingénieur Process - Préparation et nettoyage de surface;Autres activités spécialisées, scientifiques et techniques;40000;NON;NON;NON;OUI;4;4;3;4;5
23/03/2019 12:37;1788746977637810;Homme;2017;Initiale;MAT;These;;;;;;;;;;;;;;;;;;;;;;
23/03/2019 12:54;1793984795250720;Femme;2017;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;25;Non;Idean;5 000 salarié(e)s ou plus;;Chef de projet;Activités informatiques et services d'information (TIC services);35750;NON;OUI;OUI;OUI;5;5;5;5;4
24/03/2019 13:39;1810270661048860;Homme;2017;Initiale;MEA;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;19;Non;GCATRANS (Groupe Charles André);5 000 salarié(e)s ou plus;Etudes et développement en systèmes d'information ;Analyste - Développeur;Transports (Services);34000;NON;NON;NON;NON;4;4;4;3;4
08/02/2019 15:42;1875951047820870;Homme;2017;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;;
24/03/2019 15:23;1789139123747760;Homme;2016;Initiale;MAT;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;2;Non;SIGMA BETON;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Chargé de projet R&D;Construction, BTP;37500;OUI;NON;OUI;OUI;5;5;3;5;4
25/02/2019 13:34;1794779475018530;Femme;2017;Initiale;STE;Activite;Privé;CDI;En France;Occitanie;;12;Non;Altereo;De 50 à 249 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);;Sociétés de conseil, bureaux d'études;26400;OUI;NON;NON;OUI;4;5;2;4;3
24/03/2019 19:49;1793784660602810;Homme;2017;Initiale;MAT;Volontariat;;;;;;;;;;;;;;;;;;;;;;
10/04/2019 14:12;1857534003348200;Homme;2018;Initiale;STE;Recherche;;;;;;;;;;;;;;;;;;;;;;
25/03/2019 04:13;1922162838055520;Homme;2017;Apprentissage;MAT;These;;;;;;;;;;;;;;;;;;;;;;
25/03/2019 09:12;1768453733098370;Homme;2017;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;16;Non;Batterizy;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur Développement;Autres secteurs ;32000;OUI;OUI;OUI;OUI;4;5;4;5;5
25/03/2019 10:32;1868316566701450;Homme;2018;Initiale;MAT;Recherche;;;;;;;;;;;;;;;;;;;;;;
25/03/2019 11:48;1788410959828380;Homme;2016;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;29;Non;SERMA;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur Electronique;Industrie automobile, aéronautique, navale, ferroviaire;36000;NON;OUI;NON;OUI;4;5;3;5;5
25/03/2019 12:00;1783101163885070;Homme;2016;Professionalisation;IG;Activite;Privé;CDI;En France;Île-de-France;;30;Non;Deloitte;5 000 salarié(e)s ou plus;Etudes et développement en systèmes d'information ;Senior Consultant en Sécurité des SI;Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques;47000;OUI;OUI;OUI;OUI;5;5;4;5;4
25/03/2019 13:24;1788692236175060;Homme;2017;Apprentissage;SE;Activite;Privé;CDI;En France;Occitanie;;18;Non;CTP-Constructeur;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Automaticien;Construction, BTP;35000;OUI;OUI;OUI;OUI;5;5;4;5;3
25/03/2019 15:36;1782921165310560;Homme;2018;Apprentissage;MSI;Activite;Privé;CDI;En France;Occitanie;;7;Non;CIMAT Groupe FOSELEV;De 50 à 249 salarié(e)s ;Assistance technique;ASSISTANT CHEF DE PROJET;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;32500;OUI;OUI;OUI;OUI;5;5;3;4;2
11/03/2019 19:05;1782921034569700;Homme;2017;Apprentissage;MSI;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;6;Non;IREM;De 50 à 249 salarié(e)s ;Méthodes, contrôle de production, maintenance;Ingénieur Soudeur IWE;Autres activités spécialisées, scientifiques et techniques;44000;OUI;NON;OUI;OUI;2;5;4;2;4
25/03/2019 15:56;1868316593737580;Homme;2018;Apprentissage;MSI;Activite;Privé;CDI;En France;;;4;;;250 à  4 999 salarié(e)s ;;;Autres activités spécialisées, scientifiques et techniques;;;;;;;;;;
08/04/2019 08:54;1782657351928680;Homme;2017;Apprentissage;MSI;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;18;Non;Électricité de France;5 000 salarié(e)s ou plus;Qualité, sécurité, sûreté de fonctionnement ;Inspecteur dans un service d'inspection reconnu;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);38000;NON;NON;NON;NON;5;5;3;3;2
