Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Disposez-vous d'une RQTH (Reconnaissance de la qualite de Travailleur Handicape)?;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
12/02/2019 20:18;1793993171979750    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;France;ile-de-France;;7;Non;Pinpo;_10;Exploitation / maintenance informatique ;Ingenieur Informaticien - Lead Developpeur;Activites informatiques et services d'information (TIC services);38000;NON;NON;NON;OUI;5;5;5;5;5
12/02/2019 21:42;1788753778509120    ;Homme;2018;Apprentissage;SE;Sans activite volontairement;;;;;;;;;;;;;;;;;;;;;;
04/03/2019 15:09;1775569786212310    ;Homme;2018;Initiale;STE;Recherche;;;;;;;;;;;;;;;;;;;;;;
13/02/2019 10:30;1788753613086370    ;Homme;2018;Apprentissage;EGC;Activite;Prive;CDI;France;ile-de-France;;3;Non;SPAC;250_4999;;Ingenieur Travaux;Construction, BTP;41000;OUI;OUI;OUI;OUI;5;4;4;3;3
26/02/2019 13:09;1882421143088620    ;Homme;2016;Initiale;STE;Activite;Prive;CDI;France;Guyane;;29;Non;Guyane Technique Infrastructure;10_19;Maitrise d'oeuvre;Charge d'affaires Hydraulique et Environnement;Societes de conseil, bureaux d'etudes;38300;NON;NON;NON;OUI;4;4;4;5;3
13/02/2019 12:09;1882874460265010    ;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;24;Non;Viveris Technologies;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur Systeme embarque;Societes de conseil, bureaux d'etudes;32000;NON;NON;NON;NON;2;3;3;4;3
13/02/2019 12:18;1788640429004420    ;Homme;2016;Initiale;MAT;Sans activite volontairement;;;;;;;;;;;;;;;;;;;;;;
13/02/2019 15:23;1767833505039570    ;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;;
13/02/2019 16:24;1788742411254090    ;Homme;2018;Initiale;MAT;Volontariat;;;;;;;;;;;;;;;;;;;;;;
13/02/2019 16:56;1793841847356030    ;Homme;2018;Initiale;MAT;Activite;Prive;CDI;France;Occitanie;;1;Non;Nereus;20_49;Innovation, Propriete industrielle, brevets, transfert de technologie;Chef de Projet;Production et distribution d'eau assainissement, gestion des dechets et depollution;35000;OUI;;;OUI;5;5;5;5;5
08/02/2019 19:53;1783101167711960    ;Femme;2018;Initiale;GBA;Activite;Prive;CDD;France;Provence-Alpes-Cote d'Azur;;4;Non;Fitoform;10_19;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Assistante achat et developpement ;Industrie agroalimentaire ;25200;NON;NON;NON;OUI;4;5;4;5;3
13/02/2019 20:07;1794190821207790    ;Homme;2016;Apprentissage;EGC;Activite;Prive;CDI;France;Occitanie;;12;Non;SOGEDO;250_4999;Production - Exploitation ;Direction adjoint;Production et distribution d'eau assainissement, gestion des dechets et depollution;39000;OUI;NON;OUI;OUI;5;5;3;4;5
16/03/2019 20:22;1802847679906210    ;Femme;2016;Initiale;STE;Volontariat;;;;;;;;;;;;;;;;;;;;;;
13/02/2019 22:04;1776621631160250    ;Homme;2018;Initiale;MAT;Activite;Prive;CDI;France;Occitanie;;1;Non;Altran;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur consultant junior;Societes de conseil, bureaux d'etudes;34500;NON;NON;NON;NON;3;3;4;3;4
27/02/2019 20:51;1789472288299210    ;Femme;2018;Professionalisation;GBA;Activite;Prive;CDD;France;Provence-Alpes-Cote d'Azur;;2;Non;Groupement d'employeur de l'Oratoire;10_19;Qualite, securite, s?rete de fonctionnement ;Assistante qualite;Industrie agroalimentaire ;21864;NON;NON;NON;NON;4;3;3;3;4
13/02/2019 22:33;1789312885996130    ;Homme;2018;Initiale;MAT;Activite;Prive;CTT;France;Provence-Alpes-Cote d'Azur;;5;Non;SICAF Cosmetique;50_249;Production - Exploitation ;Ouvrier sur ligne de production;Autres secteurs ;18000;NON;NON;NON;NON;1;4;2;;
14/02/2019 04:32;1782457796618290    ;Femme;2016;Initiale;STE;Activite;Prive;Contrat local;Etranger;;Canada;1;Non;cima+;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Ingenieure de projets en traitement des eaux;Activites juridiques, comptables, de gestion, d'architecture, d'ingenierie, de controle et d'analyses techniques;33473;NON;NON;NON;NON;5;5;5;3;5
11/03/2019 16:14;1810540685739260    ;Homme;2017;Apprentissage;MSI;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;7;Non;EKIUM;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur projet mecanique;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);36000;OUI;NON;OUI;NON;4;5;4;5;5
13/02/2019 23:42;1883067325976580    ;Femme;2016;Initiale;IG;Activite;Prive;Contrat local;Etranger;;Espagne;33;Non;King;5000_;Bisuness Analitique;Data scientist;Autres secteurs ;47000;NON;NON;NON;NON;4;5;4;4;5
15/04/2019 13:57;1989049429361750    ;Femme;2016;Initiale;STE;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;30;Non;OREGE;20_49;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Chef de projet R&D process;Production et distribution d'eau assainissement, gestion des dechets et depollution;35500;OUI;NON;OUI;OUI;4;4;4;4;4
14/02/2019 09:55;1782529422968890    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Hauts-de-France;;18;Non;Sopra Steria Consulting;5000_;Etudes - Conseil et expertise (autre qu'informatique);Senior consultant;Industrie des technologies de l'Information et de la Communication (TIC);37500;OUI;NON;OUI;OUI;;5;3;5;4
14/02/2019 11:16;1889245695858720    ;Femme;2017;Initiale;MAT;Activite;Prive;CDI;France;ile-de-France;;3;Non;Horisis Conseil;20_49;Etudes - Conseil et expertise (autre qu'informatique);Consultante PMO;Societes de conseil, bureaux d'etudes;32000;NON;NON;NON;OUI;4;5;3;2;4
14/02/2019 11:49;1757379921945330    ;Homme;2016;Initiale;MAT;These;;;;;;;;;;;;;;;;;;;;;;
25/02/2019 15:02;1788524684447960    ;Femme;2017;Initiale;STE;Activite;Prive;CDI;France;Occitanie;;7;Non;Veolia Eau;5000_;Services support a l'exploitation;Responsable Gestion Patrimoniale;Production et distribution d'eau assainissement, gestion des dechets et depollution;34200;OUI;NON;NON;OUI;5;5;4;4;5
14/02/2019 15:57;1867637446209260    ;Femme;2016;Professionalisation;GBA;Activite;Prive;CDI;France;Hauts-de-France;;29;Non;Verallia;50_249;Environnement, Hygiene, Securite ;Responsable Environnement, Hygiene, Securite;Industrie agroalimentaire ;40000;OUI;NON;NON;OUI;4;4;3;5;5
14/02/2019 16:16;1767911676181750    ;Femme;2016;Initiale;IG;Activite;Prive;CDI;France;Pays de la Loire;;36;Non;CGI;5000_;Maitrise d'ouvrage ;Consultante Conduite du changement;Activites informatiques et services d'information (TIC services);33800;NON;NON;NON;OUI;3;4;3;3;5
09/02/2019 17:40;1783551789571890    ;Homme;2017;Apprentissage;MSI;Activite;Prive;CDI;France;Occitanie;;14;Non;ANNEALSYS;10_19;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur d'etudes;Autres activites specialisees, scientifiques et techniques;32300;NON;NON;NON;NON;5;5;4;5;5
15/02/2019 12:41;1782335999246230    ;Homme;2016;Initiale;MAT;Activite;Prive;CDI;France;ile-de-France;;1;Non;Microport CRM;5000_;Methodes, controle de production, maintenance;Process Engineer;Industrie pharmaceutique;44000;NON;NON;NON;OUI;4;3;5;3;3
16/02/2019 13:56;1788921972686170    ;Homme;2016;Apprentissage;MSI;Activite;Prive;CDI;France;Normandie;;28;Non;SOCOTEC Power Services;5000_;Commercial(e) (dont ingenieur(e) d'affaire) ;Responsable d'activites;Societes de conseil, bureaux d'etudes;60000;OUI;OUI;OUI;OUI;5;4;5;5;3
16/02/2019 22:28;1788414700944440    ;Femme;2017;Initiale;GBA;Recherche;;;;;;;;;;;;;;;;;;;;;;
17/02/2019 11:44;1829834073632500    ;Homme;2017;Apprentissage;EGC;Activite;Prive;CDI;France;Occitanie;;10;Oui;Cabinet ARRAGON;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur charge d'etudes;Societes de conseil, bureaux d'etudes;30000;OUI;NON;NON;NON;4;5;3;3;5
17/02/2019 18:25;1783429142491480    ;Homme;2017;Apprentissage;SE;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;4;Non;Ap2e;20_49;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur electronique et informatique industrielle;Recherche-developpement scientifique;38000;NON;NON;NON;OUI;4;3;4;5;3
17/02/2019 18:34;1889049477591710    ;Femme;2018;Initiale;MAT;Etudes;;;;;;;;;;;;;;;;;;;;;;
17/02/2019 19:02;1757709831693380    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;6;Non;Sopra Steria;5000_;Etudes et developpement en systemes d'information ;Ingenieur etude et developpement;Telecommunications;;NON;NON;NON;NON;4;4;3;4;5
18/02/2019 09:59;1813820751836070    ;Homme;2017;Initiale;MAT;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;17;Non;SOM Mediterranee;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur d'etudes Fabrication Soudage;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);33450;NON;NON;NON;OUI;4;5;2;4;5
13/02/2019 10:56;1782338016526480    ;Femme;2018;Initiale;STE;Volontariat;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:34;1788460210630430    ;Homme;2017;Initiale;STE;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;15;Non;2AE;_10;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur d'etudes ;Societes de conseil, bureaux d'etudes;28200;NON;NON;NON;OUI;4;5;3;3;4
18/02/2019 22:44;1798577068626560    ;Femme;2018;Initiale;MAT;Activite;Prive;CDI;France;Centre-Val de Loire;;2;Non;Alten ;5000_;Etudes - Conseil et expertise (autre qu'informatique);;Societes de conseil, bureaux d'etudes;31000;NON;NON;NON;OUI;5;5;4;4;1
20/03/2019 12:37;1798760225448130    ;Homme;2018;Initiale;GBA;Activite;Prive;CDI;France;Occitanie;;7;Non;Arcadie SA;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur R&D;Industrie agroalimentaire ;28600;NON;OUI;NON;OUI;4;5;2;4;2
20/02/2019 00:40;1882421149989030    ;Homme;2016;Apprentissage;EGC;Activite;Prive;CDI;Etranger;;Polynesie Fran?aise;19;Non;LUSEO PACIFIC;250_4999;Commercial(e) (dont ingenieur(e) d'affaire) ;Ingenieur Charge d'affaires VRD;Construction, BTP;44950;OUI;OUI;OUI;OUI;5;5;5;5;5
20/02/2019 12:17;1788523039543000    ;Homme;2018;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;6;Non;SPHEREA;250_4999;Etudes et developpement en systemes d'information ;Architecte Systeme;Industrie automobile, aeronautique, navale, ferroviaire;37000;NON;OUI;NON;OUI;4;5;5;4;3
21/02/2019 12:42;1798487221615820    ;Homme;2016;Apprentissage;SE;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;25;Non;;5000_;Qualite, securite, s?rete de fonctionnement ;;Societes de conseil, bureaux d'etudes;;NON;NON;NON;OUI;4;5;3;5;4
21/02/2019 12:43;1794484607320230    ;Homme;2018;Apprentissage;SE;Etudes;;;;;;;;;;;;;;;;;;;;;;
21/02/2019 13:36;1789086561411020    ;Femme;2017;Apprentissage;SE;Activite;Prive;CDI;France;ile-de-France;;16;Non;MBDA;250_4999;Essais;Concepteur de moyens d'essais;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;42000;OUI;OUI;NON;OUI;4;4;4;4;2
21/02/2019 16:03;1789078743073440    ;Homme;2016;Apprentissage;EGC;Activite;Prive;CDI;France;Occitanie;;30;Non;GAXIEU;50_249;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur Conducteur de travaux;Construction, BTP;32500;OUI;OUI;NON;OUI;5;5;3;5;5
21/02/2019 16:59;1788516821411240    ;Femme;2017;Initiale;GBA;Volontariat;;;;;;;;;;;;;;;;;;;;;;
21/02/2019 18:28;1783101039574690    ;Homme;2018;Apprentissage;EGC;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;3;Non;SNCF Reseau;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur hydraulique;Transports (Services);31300;OUI;NON;NON;OUI;4;5;2;4;4
21/02/2019 18:47;1782462616705970    ;Femme;2016;Apprentissage;EGC;Activite;Prive;CDI;France;Occitanie;;30;Non;Suez consulting;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Chef de projet;Construction, BTP;33000;NON;OUI;OUI;OUI;4;5;3;5;5
21/02/2019 18:58;1794775458291640    ;Homme;2016;Apprentissage;EGC;Activite;Prive;CDI;France;Occitanie;;31;Non;SOGEA SUD HYDRAULIQUE;5000_;Production - Exploitation ;conducteur de travaux;Construction, BTP;40500;OUI;OUI;OUI;OUI;5;5;4;5;5
