Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
12/01/2020 19:35;Homme;1783429270247880;2018;Professionalisation;STE;Activite;Privé;CDI;En France;Occitanie;;17;GAXIEU;De 50 à 249 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;30000;NON;NON;NON;NON;4;5;2;4;5
10/01/2020 17:54;Homme;1783100911271340;2018;Apprentissage;SE;Activite;Privé;CDI;En France;Occitanie;;16;Liebherr aerospace Toulouse ;250 à  4 999 salarié(e)s ;Bureau d'étude ;Concepteur électronique système ;Industrie automobile, aéronautique, navale, ferroviaire;43000;NON;OUI;NON;OUI;4;5;3;4;5
10/01/2020 16:47;Homme;1788753613086370;2018;Apprentissage;EGC;Activite;Privé;CDI;En France;Île-de-France;;12;SPAC;5 000 salarié(e)s ou plus;Production - Exploitation ;Ingénieur Travaux;Construction, BTP;43500;OUI;OUI;OUI;OUI;4;4;3;4;4
14/01/2020 13:25;Homme;1782714607622020;2018;Professionalisation;STE;Activite;Public;CDI;A l'étranger;;Belgique;11;SWDE;250 à  4 999 salarié(e)s ;Production - Exploitation ;Ingénieur d'exploitation en distribution d'eau ;Production et distribution d'eau assainissement, gestion des déchets et dépollution;40750;OUI;OUI;OUI;OUI;5;5;4;5;5
10/01/2020 23:03;Femme;1899246129212230;2018;Initiale;MAT;These;;;;;;;;;;;;;;;;;;;;;
10/01/2020 20:55;Femme;1898711239857440;2018;Professionalisation;GBA;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;16;Haribo;5 000 salarié(e)s ou plus;Qualité, sécurité, sûreté de fonctionnement ;Gestionnaire technique Qualité Hygiène et sécurité alimentaire ;Industrie agroalimentaire ;34000;NON;NON;NON;NON;3;3;3;2;4
10/01/2020 16:42;Homme;1789312885996130;2018;Initiale;MAT;Activite;Privé;CDI;En France;Île-de-France;;2;ArianeGroup;5 000 salarié(e)s ou plus;Essais de composants;Ingénieur d'essais;Industrie automobile, aéronautique, navale, ferroviaire;32500;NON;NON;NON;OUI;4;5;4;4;3
15/01/2020 09:36;Homme;1813820722708700;2018;Initiale;GBA;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;10;1LIFE;De 50 à 249 salarié(e)s ;Etudes et développement en systèmes d'information ;CONSULTANT ERP - CHEF DE PROJET;Industrie des technologies de l'Information et de la Communication (TIC);36000;NON;NON;NON;OUI;5;5;4;5;5
13/01/2020 12:52;Homme;1793838299444250;2018;Apprentissage;MSI;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;16;PRECIA MOLEN;250 à  4 999 salarié(e)s ;Méthodes, contrôle de production, maintenance;Ingénieur Industrialisation et méthodes;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;36600;NON;OUI;NON;OUI;4;5;3;4;5
10/01/2020 23:28;Femme;1783045955881460;2018;Initiale;GBA;Activite;Privé;CDI;En France;Normandie;;4;Isigny Sainte-Mère;250 à  4 999 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Chargée de Mission Qualité Pâtes Molles;Industrie agroalimentaire ;35100;NON;OUI;NON;OUI;3;4;5;5;2
