Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
06/03/2020 20:41;Homme;1782336264587750    ;2017;Initiale;IG;Activite;Prive;CDI;Etranger;;Royaume-Uni;30;Riventa;10_19;;;Autres secteurs ;;;;;;;;;;
06/03/2020 20:51;Femme;1782340107568330    ;2019;Initiale;GBA;Activite;Prive;CDD;France;Provence-Alpes-Cote d'Azur;;5;Fitoform ;10_19;Achats, approvisionnements, logistique ;Assistance QRRD et achats;Industrie agroalimentaire ;22800;NON;NON;NON;OUI;4;5;3;4;1
07/03/2020 10:21;Homme;1782921228983150    ;2017;Initiale;GBA;Activite;Prive;CDD;France;Provence-Alpes-Cote d'Azur;;24;;_10;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur R&D biotechnologies;Recherche-developpement scientifique;29000;NON;OUI;NON;OUI;3;5;3;4;5
08/03/2020 20:39;Homme;1767472863462420    ;2019;Initiale;IG;Activite;Prive;CDD;France;Occitanie;;6;Sheeld;_10;Informatique industrielle et technique ;Ingenieur developpement logiciels;Industrie automobile, aeronautique, navale, ferroviaire;20400;NON;OUI;OUI;OUI;3;5;3;5;4
09/03/2020 09:34;Homme;1788692409172480    ;2018;Professionalisation;STE;Activite;Prive;CDI;France;Occitanie;;18;ETANDEX;250_4999;Commercial(e) (dont ingenieur(e) d'affaire) ;Ingenieur Etudes et Commercial;Construction, BTP;43800;OUI;NON;NON;OUI;4;5;5;4;5
09/03/2020 11:18;Femme;1882297801061500    ;2018;Initiale;GBA;Activite;Prive;CDD;France;Bretagne;;5;Entremont Guingamp ;5000_;Qualite, securite, sûrete de fonctionnement ;Assistante Qualite ;Industrie agroalimentaire ;;NON;NON;NON;OUI;3;5;3;5;3
10/03/2020 11:23;Homme;1798487175823210    ;2018;Initiale;MI;Activite;Prive;CDI;France;Occitanie;;18;Cimpa;250_4999;;;Industrie automobile, aeronautique, navale, ferroviaire;40000;OUI;OUI;OUI;OUI;5;5;5;5;5
10/03/2020 12:26;Femme;1775335295742820    ;2018;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;15;OSISOFT;50_249;Informatique industrielle et technique ;Product support engineer;Activites informatiques et services d'information (TIC services);44000;NON;NON;NON;NON;4;5;4;4;4
12/03/2020 20:52;Femme;1782336774782570    ;2019;Professionalisation;GBA;En recherche emploi;;;;;;;;;;;;;;;;;;;;;
13/03/2020 20:01;Homme;1789477439328400    ;2019;Initiale;IG;Sans activite ;;;;;;;;;;;;;;;;;;;;;
13/03/2020 20:03;Homme;1794775597442960    ;2019;Initiale;MAT;Sans activite ;;;;;;;;;;;;;;;;;;;;;
15/03/2020 15:56;Homme;1769007709059690    ;2018;Initiale;MI;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;15;CERIA;_10;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);;Autres industries (bois, imprimerie, fabrication, reparation et installation de machines et d'equipements, ...);;;;;;;;;;
18/03/2020 12:16;Homme;1782336190229570    ;2019;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;8;Capgemini;5000_;Exploitation / maintenance informatique ;Ingenieur Logiciel;Societes de conseil ou d'ingenieurie, bureaux d'etudes independants;33280;OUI;NON;NON;NON;5;5;5;5;5
