Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
11/03/2018 11:03;1775345104087020;Homme;2015;Initiale;STE;Activite;Prive;CDI;En France;Nouvelle-Aquitaine;;30;ACTALIA;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Chargé de projets Environnement;Industrie agroalimentaire ;26400;NON;OUI;NON;OUI;4;5;3;4;5
10/03/2018 01:19;1767473227295350;Homme;2015;Initiale;MI;Activite;Prive;CDI;En France;Île-de-France;;30;Apside Technologies;250 à  4 999 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Ingénieur d'affaires;Industrie automobile, aéronautique, navale, ferroviaire;54400;OUI;OUI;OUI;OUI;1;5;5;5;3
23/03/2018 14:18;1767833503373530;Homme;2015;Apprentissage;EGC;Activite;Prive;CDI;En France;Île-de-France;;30;SUEZ Eau France;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur hydraulicien;Production et distribution d'eau assainissement, gestion des déchets et dépollution;43700;NON;NON;OUI;OUI;4;5;3;4;
08/03/2018 17:55;1782332335839360;Homme;2015;Professionalisation;IG;Activite;Prive;CDI;En France;Occitanie;;30;Zendesk;250 à  4 999 salarié(e)s ;Informatique industrielle et technique ;Software Engineer;Activités informatiques et services d'information (TIC services);44982;NON;NON;NON;OUI;5;5;3;3;5
26/03/2018 17:51;1889471553378420;Homme;2015;Initiale;STE;Activite;Prive;CDI;En France;Auvergne-Rhône-Alpes;;3;Elmatec;De 10 à 19 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur Projets;Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...);36000;NON;OUI;NON;OUI;4;4;4;5;4
08/03/2018 17:58;1777133585322030;Femme;2015;Initiale;MEA;Activite;Prive;CDI;En France;Centre-Val de Loire;;5;POWER SYSTEM TECHNOLOGY;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur junior;Industrie automobile, aéronautique, navale, ferroviaire;29000;NON;NON;NON;OUI;3;1;2;0;0
09/03/2018 17:37;1767833595276880;Homme;2015;Initiale;MAT;Activite;Prive;CDI;En France;Occitanie;;26;;5 000 salarié(e)s ou plus;Méthodes, contrôle de production, maintenance;Spécialiste en technologie de production;Industrie automobile, aéronautique, navale, ferroviaire;38000;NON;NON;NON;NON;4;5;4;4;5
09/03/2018 14:57;1798714260077950;Homme;2015;Initiale;MAT;Activite;Prive;CDI;En France;Île-de-France;;14;MI-GSO;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur Projet;Sociétés de conseil, bureaux d'études;34000;NON;NON;NON;NON;3;4;3;4;2
11/03/2018 18:26;1783551852318230;Homme;2015;Initiale;MEA;Activite;Prive;CDI;En France;Occitanie;;6;Bear SAS;De 10 à 19 salarié(e)s ;Développeur;Développeur Android;Autres activités spécialisées, scientifiques et techniques;33000;NON;NON;NON;OUI;4;5;4;5;5
18/03/2018 10:50;1789246064047580;Femme;2015;Initiale;GBA;Activite;Prive;CDI;En France;Provence-Alpes-Côte d'Azur;;16;SOFALIP;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Responsable R&D;Industrie agroalimentaire ;30000;NON;NON;NON;OUI;4;5;3;5;4
