Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
21/01/2020 01:19;Homme;1,79448E+15;2018;Apprentissage;SE;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;4;STMicroelectronics;5 000 salarié(e)s ou plus;Marketing;Product Marketing Engineer;Autres activités spécialisées, scientifiques et techniques;40000;NON;OUI;NON;OUI;5;5;4;5;5
21/01/2020 06:48;Homme;1,78852E+15;2019;Initiale;MI;Sans activité ;;;;;;;;;;;;;;;;;;;;;
21/01/2020 07:07;Homme;1,78852E+15;2019;Professionalisation;MI;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;4;Zimmer Biomet;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur Développement Produit ;Recherche-développement scientifique;33000;NON;NON;NON;OUI;5;4;4;3;3
21/01/2020 07:27;Homme;1,76818E+15;2019;Initiale;MI;Activite;Privé;CDD;En France;Nouvelle-Aquitaine;;5;ArianeGroup ;5 000 salarié(e)s ou plus;Méthodes, contrôle de production, maintenance;Méthodiste DFC;Industrie automobile, aéronautique, navale, ferroviaire;34800;NON;NON;NON;NON;4;5;4;3;4
21/01/2020 07:38;Homme;1,78298E+15;2018;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;
21/01/2020 08:12;Homme;1,78329E+15;2017;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;
21/01/2020 08:39;Femme;1,77526E+15;2017;Professionalisation;MI;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;20;ENGIE Solutions ;5 000 salarié(e)s ou plus;Méthodes, contrôle de production, maintenance;Ingénieur Maintenance;…nergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);35660;NON;NON;NON;OUI;3;4;2;2;5
21/01/2020 09:14;Homme;1,79384E+15;2019;Initiale;MI;Activite;Privé;CTT;En France;Occitanie;;3;Diagdev;De 20 à 49 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur conception mécanique;Industrie pharmaceutique;36000;NON;OUI;NON;OUI;4;5;4;3;4
21/01/2020 09:51;Homme;1,78233E+15;2019;Apprentissage;EGC;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;4;SADE;5 000 salarié(e)s ou plus;Production - Exploitation ;INGENIEUR TRAVAUX;Construction, BTP;33000;OUI;OUI;OUI;OUI;1;5;3;5;5
21/01/2020 09:55;Homme;1,78348E+15;2018;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;
21/01/2020 09:54;Femme;1,77617E+15;2019;Apprentissage;EGC;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;3;;De 50 à 249 salarié(e)s ;Production - Exploitation ;Ingénieure Technique;Industrie chimique;;NON;OUI;NON;OUI;5;4;4;5;5
21/01/2020 10:08;Homme;1,90666E+15;2018;Apprentissage;EGC;Volontariat;;;;;;;;;;;;;;;;;;;;;
21/01/2020 10:05;Homme;1,78233E+15;2019;Apprentissage;EGC;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;3;Aptiskills;250 à  4 999 salarié(e)s ;Maîtrise d'ouvrage ;Assistant Maîtrise d'ouvrage;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;34000;NON;OUI;NON;OUI;4;4;4;4;3
21/01/2020 10:47;Homme;1,78292E+15;2017;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;
